dim_hidden,seed,param_num,train_loss_bellman,test_loss_bellman,abs_rel_err_test_median,abs_rel_err_test_max,abs_rel_err_test_10_percentile,abs_rel_err_test_90_percentile
1,32,5,0.0031780197750777006,0.0023086031433194876,0.18760864436626434,0.3391588032245636,0.12955178320407867,0.3064153492450714
1,33,5,0.05336636304855347,0.025180507451295853,0.16137225925922394,0.9224181771278381,0.04170234873890877,0.5146152377128601
1,34,5,0.002884193090721965,0.002087241504341364,0.15397728979587555,0.30004021525382996,0.08456027507781982,0.28314653038978577
1,35,5,0.012356223538517952,0.004152732901275158,0.10935001820325851,0.20472900569438934,0.05503647401928902,0.17670907080173492
1,36,5,0.05336636304855347,0.025186095386743546,0.16130733489990234,0.9225670099258423,0.041767507791519165,0.5147325396537781
1,37,5,0.05336635559797287,0.025185758247971535,0.1613112837076187,0.9225579500198364,0.0417635403573513,0.514725387096405
1,38,5,0.05336635187268257,0.02518603764474392,0.16130799055099487,0.9225655198097229,0.04176684468984604,0.5147313475608826
1,39,5,0.053366467356681824,0.02510823681950569,0.16221709549427032,0.9204815626144409,0.04085441678762436,0.5130894184112549
1,40,5,0.05336634814739227,0.025186151266098022,0.16130667924880981,0.9225685000419617,0.04176816716790199,0.5147336721420288
1,41,5,0.012253262102603912,0.004195232409983873,0.1127748116850853,0.2066502422094345,0.05777669697999954,0.1807023137807846
1,42,5,0.003037367481738329,0.002236709464341402,0.18299593031406403,0.32884716987609863,0.12215116620063782,0.3043593168258667
1,43,5,0.013606957159936428,0.0037674594204872847,0.08031484484672546,0.17644619941711426,0.029895884916186333,0.14244996011257172
1,44,5,0.008930766023695469,0.0014526981394737959,0.11930032074451447,0.23618163168430328,0.06875724345445633,0.21137414872646332
1,45,5,0.0031780204735696316,0.0023086252622306347,0.18760761618614197,0.33916059136390686,0.12955184280872345,0.30641353130340576
1,46,5,0.05336636304855347,0.025186095386743546,0.16130733489990234,0.9225670099258423,0.041767507791519165,0.5147325396537781
1,47,5,0.05336635187268257,0.025185924023389816,0.16130930185317993,0.9225624799728394,0.041765522211790085,0.5147289633750916
1,48,5,0.05336634814739227,0.025186151266098022,0.16130667924880981,0.9225685000419617,0.04176816716790199,0.5147336721420288
1,49,5,0.053366366773843765,0.025171082466840744,0.16148264706134796,0.9221650958061218,0.041591543704271317,0.5144158601760864
21,0,85,0.0008605661569163203,0.001160773215815425,0.04166434705257416,0.17188355326652527,0.015962792560458183,0.13244737684726715
21,1,85,0.00016622206021565944,0.00017443051910959184,0.00596206821501255,0.02062511257827282,0.0016345196636393666,0.015141514129936695
21,2,85,0.0005567246698774397,0.0005858918884769082,0.016437239944934845,0.08980891853570938,0.002475888002663851,0.06513723731040955
21,3,85,0.00013461970956996083,8.728016109671444e-05,0.01560988463461399,0.03777845576405525,0.005518148187547922,0.029096677899360657
21,4,85,0.0002585947513580322,0.000283643021248281,0.03870018199086189,0.13989174365997314,0.00582905625924468,0.11151587218046188
21,5,85,0.0003458334831520915,0.0005734543083235621,0.028333080932497978,0.12888792157173157,0.008358191698789597,0.09451748430728912
21,6,85,0.00013664501602761447,0.0002599300933070481,0.011819408275187016,0.06768979877233505,0.006582650821655989,0.047510553151369095
21,7,85,0.00033833857742138207,0.0005356039036996663,0.025577932596206665,0.12047385424375534,0.009839633479714394,0.08659503608942032
21,8,85,0.00018210080452263355,0.00046619417844340205,0.020631134510040283,0.06053305044770241,0.003018045797944069,0.05106278881430626
21,9,85,0.00012955952843185514,0.00021202643983997405,0.021749552339315414,0.058078616857528687,0.005975771229714155,0.049222540110349655
21,10,85,0.00012720219092443585,0.00034940853947773576,0.017095720395445824,0.05203596130013466,0.010632009245455265,0.03839444741606712
21,11,85,0.0005776450852863491,0.0008379717473872006,0.08734029531478882,0.28068026900291443,0.020994452759623528,0.24433718621730804
21,12,85,0.0008644121116958559,0.0009923645993694663,0.043357014656066895,0.21370582282543182,0.0071370224468410015,0.18090702593326569
21,13,85,8.432113827439025e-05,0.0002007954753935337,0.02401435747742653,0.04386477172374725,0.019236059859395027,0.038043662905693054
21,14,85,0.00018595931760501117,0.00023247399076353759,0.006977845914661884,0.035276517271995544,0.00251556234434247,0.012837783433496952
21,15,85,0.00032643740996718407,0.0005845348932780325,0.025075847283005714,0.07526315748691559,0.001172738615423441,0.059642091393470764
21,16,85,0.00017428133287467062,0.0002199805312557146,0.06026585400104523,0.17842145264148712,0.008097716607153416,0.14698104560375214
21,17,85,0.00014856693451292813,0.00040597683982923627,0.028297971934080124,0.044307079166173935,0.008089869283139706,0.03750213235616684
21,18,85,0.000795063329860568,0.000779367983341217,0.060489900410175323,0.20817124843597412,0.005653694737702608,0.17136405408382416
21,19,85,0.00030536085250787437,0.00020423140085767955,0.03782571852207184,0.04676363244652748,0.03236015513539314,0.04368050396442413
